Link,Name,School,Location,Language of instruction,Standard length of studies,Degree,Area of Focus,Tuition fees,Admission requirements (Germany),Admission requirements (Link),Admission Mode,Admission Semester,Lecture Period,Website,International Office (AAA),AAA Mail,AAA Link
https://tinyurl.com/y7hzqbnd,Digital Pioneering,Zeppelin University - A University between Business Culture Media and Politics,Friedrichshafen,English,3 semesters,Executive Master of Arts of Digital Pioneering (Master of Arts of Digital Pioneering),,647500 EUR per semester,minimum 1 year of professional experience,,,Winter Semester only,02.09.2017 - 31.12.2017,http://www.zu.de/emadip,International Office Am Seemooser Horn 20 88045 Friedrichshafen Tel.: 07541 6009-2041 Fax: 07541 6009-2099,international-office@zu.de,https://tinyurl.com/yanjqq56
https://tinyurl.com/y7r73gda,Economic Behaviour & Governance,University of Kassel,Kassel,English,3 semesters,Master (Master of Science),,,Bachelor's degree or Diplom I qualification in Economic Sciences or in an equivalent subject proof of a standard period of study of at least 6 semesters and 210 credits proof of language skills as well as proof of subject relevance - conditions may be set.,https://tinyurl.com/yb34k5sc,open admission,Winter Semester only,09.04.2018 - 13.07.2018 Summer semester including lecture-free period: 01 April 2018-30.09.2018,https://tinyurl.com/yb34k5sc,International Office Moritzstraße 18 34127 Kassel Tel.: 0561 804-2103 Fax: 0561 804-3513,international-office@uni-kassel.de,https://tinyurl.com/y8kku5q6
https://tinyurl.com/ybhsu5ny,Economic Policy,University of Siegen,Siegen,English,4 semesters,Master of Science (Master of Science),,26096 EUR per semester,1) To apply for the MEPS programme you need to have an appropriate Bachelor's degree with at least 6 semesters regular period of study. 2) An explicit academic background in Economics is an advantage but not required. Should you have no explicit or only a weak economic background we would like to ask you to especially document that your formal (mathematical and statistical) background is sufficient to enable you to meet the formal requirements of our quantitatively oriented Master''s program. 3) If English is not your first language or if your Bachelor's degree has not been achieved in a program taught entirely in English an adequate command of English (level B1 CEF (Common European Framework) must also be documented. English language qualifications comparable to a 'B1 level' can be documented as follows: - TOEFL test results of at least 550 (paper-based) or 213 (computer-based test) or 79 Internet-based test). - The TOEFL code for the University of Siegen is 8429. - IELTS test with a minimum score of 5.5 points - Cambridge/Oxford Certificate: PET - English language qualifications obtained through at least five years of English instruction in secondary/high school. You are required to enclose copies of your secondary/high school certificates including course and examination descriptions of your English language course for these five years. NOTE: 'NEWSLETTER FOR PROSPECTIVE STUDENTS' Subscribe at www.uni-siegen.de/zsb/newsletter,http://www.meps.uni-siegen.de,open admission,Winter Semester only,08.10.2018 - 01.02.2019,https://tinyurl.com/ya9k8pvc,International Student Affairs Adolf-Reichwein-Straße 2 57068 Siegen Tel.: 0271 740-3911 Fax: 0271 740-3900,andree.klann@zv.uni-siegen.de,https://tinyurl.com/ydx5sj2x
https://tinyurl.com/y983e9tb,Economics,University of Freiburg,Freiburg,English,4 semesters,Master of Science (Master of Science),,,Admission requirement according to admission regulations,https://tinyurl.com/y9zseb3x,open admission,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/y9zseb3x,International Office/Büro für Internationale Beziehungen Fahnenbergplatz 79085 Freiburg Tel.: 0761 203-4375 Fax: 0761 203-4377,katharina.aly@io.uni-freiburg.de,http://www.io.uni-freiburg.de
https://tinyurl.com/yaeyjpht,Economics,University of Bonn,Bonn,English,4 semesters,Master of Science (Master of Science),,,,https://tinyurl.com/yc7qb39f,open admission,Winter Semester only,18.04.2017 - 28.07.2017,https://tinyurl.com/y9cu4pq9,Dezernat Internationales Poppelsdorfer Allee 53 53115 Bonn,ksicks@uni-bonn.de,https://tinyurl.com/yblzu2xh
https://tinyurl.com/y9koaqm4,Economics,Ruhr University Bochum,Bochum,English,4 semesters,Master of Science (Master of Science),,,Graduates with a six-semester Economics Bachelor of Science degree or a similar degree with economic content amounting to a total of 180 ECTS points can be admitted to the Master's degree in Economics if 40 ECTS points were gained in the area of Economics and 15 ECTS points were in the field of Mathematics and Statistics and adequate command of English (at least level B2 in the Common European Framework of Reference) can be proven.,https://tinyurl.com/yd6apqtm,selection by the HEI,Summer and Winter Semester,08.10.2018 - 01.02.2019,https://tinyurl.com/ycfden42,International Office Universitätsstraße 150 44780 Bochum Tel.: 0234 32-26801 Fax: 0234 32-14684,international@ruhr-uni-bochum.de,https://tinyurl.com/ydg9n34v
https://tinyurl.com/yba3v3xp,Economics,University of Cologne,Köln,English,4 semesters,Master of Science (Master of Science),,https://tinyurl.com/ycsdxoou,See website of the admissions committee: https://tinyurl.com/ycaxnt9w,https://tinyurl.com/y7xar6kd,selection by the HEI,Winter Semester only,08.10.2018 - 01.02.2019 Semester period: 01.10.2017 - 31.03.2018,https://tinyurl.com/yayccgez,Dezernat 9 Internationales Universitätsstr. 22a 50937 Köln,zulassung@verw.uni-koeln.de,https://tinyurl.com/ycfxjz2y
https://tinyurl.com/y7jf4doy,Economics,Kiel University,Kiel,English,4 semesters,Single-subject Master's course (Master of Science),,,- Relevant Bachelor's degree or a comparable degree with a minimum grade of 2.5 or ECTS grade 'C' - Further specific requirements are defined in the examination regulations/academic qualification articles - Course commencement in the winter semester is recommended.,https://tinyurl.com/n9mcfd3,open admission,Summer and Winter Semester,15.10.2018 - 18.02.2019,https://tinyurl.com/ydhjcl5s,International Center Westring 400 24118 Kiel Tel.: 0431 880-3715 Fax: 0431 880-1666,mschmode@uv.uni-kiel.de,https://tinyurl.com/ydhlb7bj
https://tinyurl.com/y8tb5eb5,Economics,University of Konstanz,Konstanz,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y73sv7sr,You will need to have an above average Bachelor's degree in economics or natural sciences show proof of knowledge of mathematics statistics or econometrics English language skills (evidenced by a language examination such as Cambridge Certificate of Proficiency in English IELTS or TOEFEL) and submit a CV with a letter of motivation as well as two references from university teachers. We will gladly receive your application even if you have not yet obtained your Bachelor's certificate. Please see our website for all the admission requirements.,https://tinyurl.com/y8vbzcc7,selection by the HEI,Winter Semester only,22.10.2018 - 16.02.2019,https://tinyurl.com/yaajso4k,International Office Universitätsstraße 10 78457 Konstanz Tel.: 07531 88-3089 Fax: 07531 88-3037,international@uni-konstanz.de,https://tinyurl.com/y7rxxxyw
https://tinyurl.com/y8hjtdxt,Economics,University of Mannheim,Mannheim,English,4 semesters,Master (Master of Science),,https://tinyurl.com/ybr9qepj,See the selection regulations at https://tinyurl.com/y9c5fvxr,https://tinyurl.com/y9c5fvxr,selection by the HEI,Winter Semester only,03.09.2018 - 07.12.2018 (Autumn semester),https://tinyurl.com/y8eganwc,Akademisches Auslandsamt Akademisches Auslandsamt 68131 Mannheim Tel.: 0621 181-1151 Fax: 0621 181-1161,aaa@verwaltung.uni-mannheim.de,https://tinyurl.com/yaplz2ad
https://tinyurl.com/y9m2slo9,Economics,University of Bayreuth,Bayreuth,English,4 semesters,Master (Master of Science),,,Bachelor's degree with an examination grade of 2.5 or better in Economics International Economics & Development Business Administration Philosophy & Economics and Health Economics at the Universität Bayreuth or an equivalent degree. Before enrolment please apply for validation of the equivalence of your degree by the examination board.,https://tinyurl.com/yctrwlgq,open admission,Summer and Winter Semester,16.10.2017 - 10.02.2018,https://tinyurl.com/yc5gknng,International Office Universitätsstraße 30 95447 Bayreuth Tel.: 0921 55-5275 Fax: 0921 55-5297,international@uni-bayreuth.de,https://tinyurl.com/y9h25acc
https://tinyurl.com/y9a4h6cp,Economics,University of Erlangen-Nuremberg,Nürnberg,English,4 semesters,Master of Science (Master of Science in Economics),,The contributions may differ in individual cases.,Degree in Economics or a related discipline such as Mathematics or Social Sciences. The subject area and the previous grades from the Bachelor's degree are decisive for the selection. If necessary applicants will be invited to an aptitude test in the form of a selection interview.,https://tinyurl.com/y8dbm4av,open admission,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/y7o56how,Referat für internationale Angelegenheiten Helmstraße 1 91054 Erlangen Tel.: 09131 85-24801 Fax: 09131 85-22131,brigitte.perlick@fau.de,https://tinyurl.com/y9gydf3a
https://tinyurl.com/y76rzsxt,Economics,University of Hamburg,Hamburg,English,4 semesters,Master of Science (Master of Science),,,First degree qualifying you to enter a profession\; For details see Note different application deadlines!! Application deadline for the winter semester: 15 February to 31 March every year. Application period: 15.02. - 31.03.! A first university degree in Economics (or Economics and Finance). The programme also aims at students who graduated from non-economics related programmes seeking to enter the employment marketplace with key economic skills (Bachelor degree in Science Engineering Mathematics or Statistics). Applicants with a degree in Business Administration must present evidence of a strong focus on economics and quantitative methods in their undergraduate education. Competence in English. For further details see https://tinyurl.com/y9gghxaf Note different application deadlines!! Application deadline for the winter semester: 15 February to 31 March every year Application period: 15.02. - 31.03.!,https://tinyurl.com/yd5ulg4q,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019,https://tinyurl.com/yd5ulg4q,Abteilung Internationales Mittelweg 177 20148 Hamburg Tel.: 040 42838-7282 Fax: 040 42838-7028,international.office@verw.uni-hamburg.de,https://tinyurl.com/y86yle5c
https://tinyurl.com/yax5frga,Economics,University of Hohenheim,Stuttgart-Hohenheim,English,4 semesters,Master's degree (Master of Science),,,APPLICATION: Application deadline: 15.06.; 50 places. Bachelor's degree certificate to hand in until 31st December at the latest. SELECTION CRITERIA: *Grade of Bachelor's degree *Grade of university entrance qualification *Subject specific qualification See admission regulations for further information.,https://tinyurl.com/y9g7m7h5,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019 Non-lecture days: Tue 31.10.2017 (Reformation Day across Germany) Wed 01.11.2017 (All Saints' Day) Sun 24.12.2017 to Sat 06.01.2018 (Christmas holidays),https://tinyurl.com/y8gax8bu,Akademisches Auslandsamt Schloss Hohenheim Kolleggangflügel 70599 Stuttgart Tel.: 0711 459-22019 Fax: 0711 459-23723,aaa@uni-hohenheim.de,https://tinyurl.com/ya2ybpyh
https://tinyurl.com/ycc5bgah,Economics,University of Heidelberg,Heidelberg,English,4 semesters,Master (Master of Science),,See home page,see admission regulations,https://tinyurl.com/y86mkvgs,selection by the HEI,Winter Semester only,16.10.2017 - 10.02.2018,https://tinyurl.com/y8dptgm2,Internationale Beziehungen Seminarstr. 2 69117 Heidelberg Tel.: 06221 54-2336 Fax: 06221 54-2332,gerke@zuv.uni-heidelberg.de,https://tinyurl.com/ycog43v9
https://tinyurl.com/ya3khqw7,Economics,University of Trier,Trier,English,4 semesters,Master's (single-subject) (Master of Science),,28105 EUR per semester,Section 2 of the General Examination Regulations for Master's degree courses at the University of Trier. BA degree at the University of Trier Dept. IV or equivalent. Good knowledge of economics and English.,,open admission,Summer and Winter Semester,22.10.2018 - 09.02.2019,https://tinyurl.com/y82vmh8r,Akademisches Auslandsamt Universitätsring 15 54296 Trier Tel.: 0651 201-2806 Fax: 0651 201-3914,aaa@uni-trier.de,https://tinyurl.com/ydgf3vrq
https://tinyurl.com/yba2nw23,Economics,Ludwig Maximilians University Munich,München,English,4 semesters,Master of Science,,https://tinyurl.com/y7t22cgv,Assessment of aptitude procedure,https://tinyurl.com/6k3ssl8,,Winter Semester only,09.04.2018 - 14.07.2018,https://tinyurl.com/ydhgd5f4,Internationale Angelegenheiten (Referat III.3) Geschwister-Scholl Platz 1 80539 München Tel.: 089 2180-2823 Fax: 089 2180-3136,international@lmu.de,https://tinyurl.com/ydx55rb6
https://tinyurl.com/y9wrld76,Economics,University of Jena,Jena,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y8h4j2vz,At least 22 credit points in Economics at least 6 credit points in Mathematics and at least 6 credit points in Statistics are required. An adequate command of English is required for successful studies. German applicants may alternatively use their school reports as proof of an adequate command of English. The report must prove that the foreign language English was studied for at least 5 years before the completion of the higher education entrance qualification. The final grade or the average grade of the last two years has to be at least 'adequate' (German grade 4 or 5 points).,https://tinyurl.com/y922jsad,open admission,Winter Semester only,15.10.2018 - 08.02.2019 siehe auch www.uni-jena.de/semestertermine.html,https://tinyurl.com/y9feqp9h,Internationales Büro Fürstengraben 1 07743 Jena Tel.: 03641 93-1161 Fax: 03641 93-1162,international@uni-jena.de,https://tinyurl.com/y9zaqef7
https://tinyurl.com/ydhobpcd,Economics,Eberhard Karls University Tübingen,Tübingen,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y9v4ukpc,Earlier application deadline of 15 May.,https://tinyurl.com/y87t4fco,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/ycxaaepc,Internationale Angelegenheiten Wilhelmstr. 9 72074 Tübingen Tel.: 07071 29-72938 Fax: 07071 29-5404,wolfgang.mekle@uni-tuebingen.de,https://tinyurl.com/y7nh6xb3
https://tinyurl.com/y9wowsj3,Economics - Quantitative Economics,Bielefeld University,Bielefeld,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y9ytyvws,as usual,,selection by the HEI,Winter Semester only,08.10.2018 - 01.02.2019 The beginning of the semester: 01.04.2018 The end of the semester: 30.09.2018,https://tinyurl.com/yab575tg,International Office Universitätsstraße 25 33615 Bielefeld Tel.: 0521 106-4088 Fax: 0521 106-6439,io@uni-bielefeld.de,https://tinyurl.com/y8qwlwue
https://tinyurl.com/y76knnnd,Economics and Finance,Eberhard Karls University Tübingen,Tübingen,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y9v4ukpc,Deviating application deadline for the first specialisation semester: already on 15.05.,https://tinyurl.com/y87t4fco,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/ya5ykzaj,Internationale Angelegenheiten Wilhelmstr. 9 72074 Tübingen Tel.: 07071 29-72938 Fax: 07071 29-5404,wolfgang.mekle@uni-tuebingen.de,https://tinyurl.com/y7nh6xb3
https://tinyurl.com/y8w6z6ol,Economics and Institutions/National Economics,University of Marburg,Marburg,English,4 semesters,Master of Science (Master of Science),,There are currently no tuition fees in the state of Hesse!,https://tinyurl.com/y7u8zsk4,https://tinyurl.com/y7u8zsk4,open admission,Summer and Winter Semester,15.10.2018 - 15.02.2019,https://tinyurl.com/ybh3r7wz,Referat für Internationalsierung und Wissenschaftliche Kooperationen / International Office Deutschhausstrasse 11 + 13 35037 Marburg Tel.: 06421 28-26176 Fax: 06421 28-28998,kienle@uni-marburg.de,https://tinyurl.com/yadzserl
https://tinyurl.com/ycf22yyz,Economics and Management Science,Humboldt University Berlin,Berlin,English,4 semesters,Master's (Master of Science),,None,Degree in Economics; command of English at a level comparable to minimum level C1,,selection by the HEI,Winter Semester only,15.10.2018 - 16.02.2019,https://tinyurl.com/pch7d3k,International Office/Internationales Büro Unter den Linden 6 10099 Berlin Tel.: 030 2093-2565 Fax: 030 2093-2780,aia.leitung@uv.hu-berlin.de,https://tinyurl.com/ycncre92
https://tinyurl.com/yckvj7j7,Economics of the Middle East (EMEA),University of Marburg,Marburg,English,4 semesters,Master of Science (Master of Science),,There are currently no tuition fees in the state of Hesse!,,https://tinyurl.com/y932pyay,open admission,Winter Semester only,15.10.2018 - 15.02.2019,https://tinyurl.com/y9ra23ze,Referat für Internationalsierung und Wissenschaftliche Kooperationen / International Office Deutschhausstrasse 11 + 13 35037 Marburg Tel.: 06421 28-26176 Fax: 06421 28-28998,kienle@uni-marburg.de,https://tinyurl.com/yadzserl
https://tinyurl.com/y92bxym6,Environmental and Resource Economics,Kiel University,Kiel,English,4 semesters,Single-subject Master's course (Master of Science),,,- relevant Bachelor's degree or an equivalent degree with a minimum grade of 2.5 - further specific requirements are defined in the examination regulations/academic qualification charter - it is recommended to start the course in the winter semester.,https://tinyurl.com/n9mcfd3,open admission,Summer and Winter Semester,15.10.2018 - 18.02.2019,https://tinyurl.com/y8dmj2sn,International Center Westring 400 24118 Kiel Tel.: 0431 880-3715 Fax: 0431 880-1666,mschmode@uv.uni-kiel.de,https://tinyurl.com/ydhlb7bj
https://tinyurl.com/y8963tbh,European Economics,Eberhard Karls University Tübingen,Tübingen,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y9v4ukpc,Deviating application deadline for the first specialisation semester: already on 15.05.,https://tinyurl.com/y87t4fco,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/yajp43z4,Internationale Angelegenheiten Wilhelmstr. 9 72074 Tübingen Tel.: 07071 29-72938 Fax: 07071 29-5404,wolfgang.mekle@uni-tuebingen.de,https://tinyurl.com/y7nh6xb3
https://tinyurl.com/y8om5sry,European Master in Business Studies,University of Kassel,Kassel,English,4 semesters,Master (Master of Arts),,,For detailed information see the following link 'further information'.,https://tinyurl.com/ycdxv7f5,open admission,Winter Semester only,09.04.2018 - 13.07.2018 Summer semester including lecture-free period: 01 April 2018-30.09.2018,https://tinyurl.com/ycfqtova,International Office Moritzstraße 18 34127 Kassel Tel.: 0561 804-2103 Fax: 0561 804-3513,international-office@uni-kassel.de,https://tinyurl.com/y8kku5q6
https://tinyurl.com/yd8rep4o,Executive Master in Digital Innovation and Entrepreneurial Leadership,ESCP European School of Management in Berlin,Berlin,English,18 months,Executive Specialised Master (Executive Master in Digital Innovation and Entrepreneurial Leadership),,2890000 EUR total,,,,Winter Semester only,Individually regulated for each course of study.,https://tinyurl.com/y7jjomow,,,
https://tinyurl.com/yaxuhs3r,Executive MBA in Business & IT,Munich University of Technology,München,English,4 semesters,Master of Business Administration (Master of Business Administration),,3900000 EUR total,Successful completion of an aptitude assessment,https://tinyurl.com/yaruqesc,,Summer and Winter Semester,01.10.2018 - 31.03.2019,https://tinyurl.com/y8nrpbz3,International Center Arcisstraße 21 80333 München,internationalcenter@tum.de,https://tinyurl.com/ycdkjvy3
https://tinyurl.com/yakhp92x,Executive MBA Management,EBS University of Business and Law,Wiesbaden,English,24 months,M.B.A. (Master of Business Administration),,795000 EUR per semester,- undergraduate degree equivalent to a Bachelor's degree - GMAT or GRE (if requested) - IELTS TOEFL or equivalent - 5 years of professional experience - two references,https://tinyurl.com/yd3tacrl,,Winter Semester only,27.08.2018 - 26.08.2019 This information refers to a study year at EBS.,https://tinyurl.com/yd3tacrl,International Programmes Schloß Reichartshausen 65375 Oestrich-Winkel Tel.: 0611 7102 00,info@ebs.de,https://tinyurl.com/yc37pjuj
https://tinyurl.com/ya93lpsj,Financial Economics,University of Magdeburg,Magdeburg,English,4 semesters,Master (Master of Science),,,1. First academic degree (Bachelor Diploma etc.) in a relevant degree programme 2. Proof of command of English 3. Letter of motivation in English,,open admission,Winter Semester only,08.10.2018 - 25.01.2019,https://tinyurl.com/yaup2om2,Akademisches Auslandsamt Universitätsplatz 2 39106 Magdeburg Tel.: 0391 67-18515 Fax: 0391 67-11132,akaa@ovgu.de,https://tinyurl.com/yaabkgr5
https://tinyurl.com/y6v366q5,Global Logistics and Supply Chain Management/Business Administration,Kühne Logistics University - University for Logistics and Company Management,Hamburg,English,4 semesters,Master of Science in Global Logistics and Supply Chain Management (Master of Science),,598000 EUR per semester,Successfully completed Bachelor's degree in the field of Economic Sciences or related disciplines with economic content. Very good command of English,https://tinyurl.com/y7ms5rl5,,Winter Semester only,01.09.2018 - 20.12.2018 Master of Science in International Maritime Law and Logistics begins in the first semester on 01.10.2018,https://tinyurl.com/y7ms5rl5,International Office Großer Grasbrook 17 20457 Hamburg Tel.: 040 328707-142 Fax: 040 328707-109,exchange@the-klu.org,https://tinyurl.com/y8egkowy
https://tinyurl.com/ybzfzfmg,Global Political Economy and Development,University of Kassel,Kassel,English,4 semesters,Master (Master of Arts),,,Bachelor's degree with a standard period of study of at least 6 semesters and a minimum grade of 2.5; practical experience in social science; language knowledge,,open admission,Winter Semester only,09.04.2018 - 13.07.2018 Summer semester including lecture-free period: 01 April 2018-30.09.2018,https://tinyurl.com/y997p5fd,International Office Moritzstraße 18 34127 Kassel Tel.: 0561 804-2103 Fax: 0561 804-3513,international-office@uni-kassel.de,https://tinyurl.com/y8kku5q6
https://tinyurl.com/yacblba8,Industrial and Network Economics (MINE),Berlin University of Technology,Berlin,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y85c542v,Please follow the weblink:,https://tinyurl.com/yczonp94,selection by the HEI,Winter Semester only,15.10.2018 - 16.02.2019,https://tinyurl.com/yczonp94,Akademisches Auslandsamt Straße des 17. Juni 135 10623 Berlin Tel.: 030 314-24694 Fax: 030 314-24067,auslandsamt@tu-berlin.de,https://tinyurl.com/yb548sml
